--- TABLE ---
Subchapter A | General
Part 1 | Federal Acquisition Regulations System
Part 2 | Definitions of Words and Terms
Part 3 | Improper Business Practices and Personal Conflicts of Interest
Part 4 | Administrative and Information Matters
Subchapter B | Competition and Acquisition Planning
Part 5 | Publicizing Contract Actions
Part 6 | Competition Requirements
Part 7 | Acquisition Planning
Part 8 | Required Sources of Supplies and Services
Part 9 | Contractor Qualifications
Part 10 | Market Research
Part 11 | Describing Agency Needs
Part 12 | Acquisition of Commercial Items
Subchapter C | Contracting Methods and Contract Types
Part 13 | Simplified Acquisition Procedures
Part 14 | Sealed Bidding
Part 15 | Contracting by Negotiation
Part 16 | Types of Contracts
Part 17 | Special Contracting Methods
Part 18 | Emergency Acquisitions
Subchapter D | Socioeconomic Programs
Part 19 | Small Business Programs
Part 20 | Reserved
Part 21 | Reserved
Part 22 | Application of Labor Laws to Government Acquisitions
Part 23 | Environment, Energy and Water Efficiency, Renewable Energy Technologies, Occupational Safety, and Drug-Free Workplace
Part 24 | Protection of Privacy and Freedom of Information
Part 25 | Foreign Acquisition
Part 26 | Other Socioeconomic Programs
Subchapter E | General Contracting Requirements
Part 27 | Patents, Data, and Copyrights
Part 28 | Bonds and Insurance
Part 29 | Taxes
Part 30 | Cost Accounting Standards Administration
Part 31 | Contract Cost Principles and Procedures
Part 32 | Contract Financing
Part 33 | Protests, Disputes, and Appeals

--- TABLE ---
Subchapter F | Special Categories of Contracting
Part 34 | Major System Acquisition
Part 35 | Research and Development Contracting
Part 36 | Construction and Architect-Engineer Contracts
Part 37 | Service Contracting
Part 38 | Federal Supply Schedule Contracting
Part 39 | Acquisition of Information Technology
Part 40 | Reserved
Part 41 | Acquisition of Utility Services
Subchapter G | Contract Management
Part 42 | Contract Administration and Audit Services
Part 43 | Contract Modifications
Part 44 | Subcontracting Policies and Procedures
Part 45 | Government Property
Part 46 | Quality Assurance
Part 47 | Transportation
Part 48 | Value Engineering
Part 49 | Termination of Contracts
Part 50 | Extraordinary Contractual Actions and The Safety Act
Part 51 | Use of Government Sources by Contractors
Subchapter H | Clauses and Forms
Part 52 | Solicitation Provisions and Contract Clauses
Part 53 | Forms
